environment,material,location,notes
marine_ODZ_70 m water sample filtered on 0.2 um supor filter,water,oceanic,check
marine_ODZ_300 m water sample filtered on 0.2 um supor filter,water,oceanic,check
marine_ODZ_180 m water sample filtered on 0.2 um supor filter,water,oceanic,check
marine_ODZ_60 m water sample filtered on 0.2 um supor filter,water,oceanic,check
Marine_Oceanic_NA,water,oceanic,check
marine_oceanic pelagic zone_70 m water sample 0.2-0.8 um fraction,water,oceanic,check
marine_oceanic pelagic zone_surface water sample 0.2-0.8 um fraction,water,oceanic,check
marine_oceanic pelagic zone_500 m water sample 0.2-0.8 um fraction,water,oceanic,check
marine_oceanic pelagic zone_150 m water sample 0.2-0.8 um fraction,water,oceanic,check
coastal marine_seasonally anoxic fjord_NA,water,neritic,
water sample from deepwater horizon oil spill plume depth 1200m treated with hexadecane in a stable-isotope probing sip experiment,water,neritic,oil
water sample from deepwater horizon oil spill sea surface treated with treated with naphthalene in a stable-isotope probing sip experiment,water,neritic,oil
water sample from deepwater horizon oil spill sea surface treated with treated with phenanthrene in a stable-isotope probing sip experiment,water,neritic,oil
estuarine biome_lake_NA,water,neritic,
marine biome [ENVO:00000447]_neritic pelagic zone biome [ENVO_01000032]_NA,water,neritic,
oxygen minimum zone,water,oceanic,check
marine biome[ENVO:00000447]_marine littoral zone[ENVO:01000125]_roscoff bay,water,neritic,
marine biome[ENVO:00000447]_marine littoral zone[ENVO:01000125]_roscoff lobster tank facility,water,neritic,
water column marine,water,,check
marine waters,water,,check
YBC-II_artificial_seawater_laboratory culture_non-axenic enrichment culture inoculated with trichodesmium trichomes collected from seawater,water,lab,
marine benthos,sediment,,check
marine ecosystem [ENVO_01001788]_coastal seawater [EVO:000002150]_NA,water,neritic,
Ocean_Coastal ocean_NA,water,neritic,
sediment,sediment,neritic,check
coastal water,water,neritic,
coral,substrate,neritic,
non-axenic culture originally inoculated with ocean water,water,lab,
marine biome_marine water body_NA,water,neritic,
aliquot,,,check
ocean biome [ENVO:01000048]_microbial feature [ENVO:01000007]_waterborne particulate matter [ENVO:01000436]_NA,water,,check
non-axenic culture inoculated from ocean water sample,water,lab,
seawater at 123m depth at station 3,water,neritic,
seawater at 140m depth at station 3,water,neritic,
seawater at 180m depth at station 3,water,neritic,
seawater at 89m depth at station 2,water,neritic,
seawater at 130m depth at station 2,water,neritic,
seawater at 160m depth at station 2,water,neritic,
seawater at 25m depth at station 1,water,neritic,
seawater at 87.5m depth at station 1,water,neritic,
seawater at 100m depth at station 1,water,neritic,
aged seawater collected in august 2010,water,lab,
marine_Black Sea_suspended particulate matter spm from the black sea western gyre,water,oceanic,
shallow water reef,water,neritic,
deep-sea water 2000m,water,oceanic,
deep-sea water 3000m,water,oceanic,
deep-sea water 3500m,water,oceanic,
microbial community enriched from coastal seawater on a single synthetic hydrogel chitin micro-particle,substrate,neritic,
microbial community_coastal shelf | benthic_ocean,sediment,neritic,
marine sediment_deep sediment_NA,sediment,,check
ENVO:00002149_ENVO:00002150_NA,water,neritic,
marine biome [ENVO:00000447]_ocean [ENVO:00000015]_NA,water,,check
marine intertidal biome_near-shore intertidal water column_NA,water,neritic,
sediments,sediment,,check
marine biome [ENVO:00001999]_coastal water body [ENVO:02000049]_NA,water,neritic,
synechococcus sp. pcc7002 culture medium,,lab,check
ocean water sample,water,,check
marine biome [ENVO:00000447]_microbial feature [ENVO:00002150]_Macroalgae_NA,substrate,neritic,
marine biome [ENVO:00000447]_microbial feature [ENVO:01000007]_coastal sediment [ENVO:03000034]_NA,sediment,neritic,
marine biome [ENVO_00000447]|ocean biome [ENVO_01000048]_shoreline [ENVO_00000486]_NA,water,neritic,
